ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10007C4N2,239983,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-22,---
CND10007C3L8,239982,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-22,---
CND10007C3M6,230028,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-22,---
CND10007C3B9,239981,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-15,---
CND10007C2Y3,239980,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-14,---
CND1000776R0,230027,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-14,---
CND1000776S8,239979,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-08,---
CND1000775V4,239978,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-06,---
CND1000774F0,239977,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-01,---
CND1000764D6,239976,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-12-01,---
CND100076488,239975,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-24,---
CND100076348,230026,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-24,---
CND1000762Z3,239974,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-17,---
CND100076280,239973,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-17,---
CND100074JJ4,230025,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-14,---
CND100074JG0,239972,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-10,---
CND100074JL0,239970,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-08,---
CND100074JK2,239971,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-08,---
CND100074JM8,239969,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-08,---
CND100074J10,239968,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-11-03,---
CND100074DX8,239967,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-27,---
CND100072HK0,239966,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-27,---
CND100072G72,230024,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-24,---
CND100072H97,239965,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-20,---
CND100072FF4,239964,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-20,---
CND100072DF9,239963,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-13,---
CND1000716X4,230023,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-13,---
CND1000716Y2,230022,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-13,---
CND100072D00,239962,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-11,---
CND100072CZ9,239961,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-10-11,---
CND100070BW2,239960,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-22,---
CND10006ZK08,230021,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-22,---
CND10006ZK16,230020,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-22,---
CND10006ZK24,239959,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-22,---
CND1000709B5,239958,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-15,---
CND10006ZG95,230019,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-14,---
CND10006ZG87,239957,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-08,---
CND10006Z0R5,239956,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-06,---
CND10006Z0Q7,239955,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-06,---
CND10006YXR2,239954,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-01,---
CND10006WZW1,239953,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-09-01,---
CND10006WPD2,239952,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-25,---
CND10006VRW0,239951,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-25,---
CND10006VQZ5,230018,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-24,---
CND10006VR05,239950,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-18,---
CND10006VNH0,230017,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-14,---
CND10006VPQ6,239949,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-11,---
CND10006VNZ2,239947,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023-08-09,---
